dataset;accuracy;precision;f1/dice;jaccard;sensitivity/recall;specificity
161_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_no_augmentation;0,8578330612182617;0,7045398199580353;0,7217270084879017;0,5903057930083263;0,783381704818018;0,889222138606277
162_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_8_operations;0,8593276596069336;0,7188882499941971;0,7141229984735284;0,5820505155659359;0,755133110510189;0,8972535726140274
163_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_standard_8_operations;0,8635564041137695;0,745344914132976;0,7103242177431295;0,5782523548620079;0,7285991842568955;0,9129038174372375
164_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_standard_8_operations;0,8574392700195312;0,7769819030835384;0,6577673356411492;0,5214576965454369;0,6063640897571932;0,9413850789081468
165_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_no_augmentation;0,8433037185668946;0,6619897329417271;0,719922809154818;0,5887438724614105;0,8523291052461448;0,8492752825805425
171_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_ShiftScaleRotate;0,8668850708007813;0,7486568179347857;0,7078290722960989;0,5739900405868636;0,6975086855157483;0,9219405759089955
172_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_horizontal_flip;0,8420099258422852;0,6579804258818356;0,721773764423431;0,5893234523263893;0,8582943743199444;0,844737312937792
173_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_vertical_flip;0,8464834594726562;0,6617425784327834;0,7245503994857144;0,591531608967409;0,8543198758633381;0,8518057978200835
174_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_rotation;0,8646450424194336;0,7141767463580567;0,7196415546585685;0,5898618407570467;0,7506811108716199;0,8974161777363342
175_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_transpose;0,8583377075195312;0,6920007476199956;0,736445873647513;0,6072544123324356;0,8413329386450995;0,8718672047614321
176_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_grid_distortion;0,863766098022461;0,7449073585518488;0,7024956919866782;0,5696096723003291;0,7043719974667395;0,9177959321673507
177_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_optical_distortion;0,8604073715209961;0,7283858147986321;0,7037856829833605;0,5698429206946224;0,7159208894307625;0,9061043666252482
143_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_Defocus;0,7871940994262695;0,5930854398178006;0,6036730840250462;0,4557761147901072;0,6630268618854473;0,8411089598759227
181_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_standard_8_operations;0,865667953491211;0,7268009164336093;0,7274990506996591;0,5943387329715294;0,7661696532799178;0,9020427100568003
184_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8601413345336915;0,7127975386472063;0,7263775160036843;0,5928825690701022;0,7835603870169604;0,8950118565542968
182_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8698897933959961;0,7238663050847453;0,7446308769693906;0,6161848201761918;0,8104638087602598;0,8944838069415987
183_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8543170547485351;0,7084445245872208;0,7045581704433685;0,5712354463443235;0,7522120326642778;0,8961394538345098
191_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8674539947509765;0,7209812917608832;0,7405991234467245;0,6105799539428994;0,8071360434414953;0,8924785197980565
192_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8724292373657226;0,742748980799979;0,7358396421174791;0,6066806348910974;0,7724520481274679;0,9100976040326175
193_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8642647171020508;0,7249525829306579;0,7259467851439283;0,5940431465701418;0,7692889867462669;0,9008519364124785
195_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8400455856323242;0,672547011111735;0,6985551943914889;0,5661695332646041;0,7994808025630529;0,8624202410938812
205_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8607307815551758;0,7049487615100483;0,7301239317151459;0,5985830729676358;0,8044542778965574;0,8782732079254315
215_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8653056716918945;0,7221937528259573;0,7321830781383923;0,6022719900620882;0,7832015536538149;0,8960792214423192
224_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8637003707885742;0,7196533619132067;0,7277185670476055;0,5950518986812916;0,7782150520663502;0,900276167594108
194_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8655667877197266;0,7478605406728462;0,7258746043467263;0,5920140977373092;0,7499766211916875;0,9160643155992437
201_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8594992065429687;0,7112851902098549;0,7314626846411493;0,6017901088738591;0,8107498682744169;0,8837945417573576
202_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,849112663269043;0,6999519823850264;0,7081536440626047;0,5770948368257968;0,7755565884314061;0,8874015096586259
203_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8562945938110351;0,7225685484965944;0,7025517880855482;0,5692024870615373;0,7425941863907319;0,9006967807382198
204_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8303586959838867;0,6912557811941202;0,6540882371729652;0,5150022218705554;0,6819923348218246;0,8975219777956238
211_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8599767303466797;0,7198578364740722;0,724318368261645;0,5928213537315241;0,7840345400322758;0,8956396048731541
212_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8607685089111328;0,700756374937785;0,731682154808975;0,6027552576503576;0,8205041898173296;0,8808220228810765
213_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8658886337280274;0,7235572973742295;0,7337693458233795;0,6021134209730572;0,7877271269895946;0,8982376695051706
214_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8627410888671875;0,7049611059845821;0,7353808775312332;0,6038160893689538;0,8107155810797079;0,8832535474806545
221_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8622537231445313;0,7241493739433303;0,7239853366545921;0,5918604371189888;0,7759524176470726;0,9005424511834501
222_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,860989875793457;0,7122828277631831;0,7263349559679478;0,5970493877464805;0,7924382273104394;0,8914224642462973
223_ORCA512_512x512_Epoch-400_Images-100_Batch-1_BCELoss_Adam_random_9_operations;0,8662457656860352;0,7463550511605906;0,7236876582348921;0,5910684920235074;0,7456782876656198;0,9156576731813013
225_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_ShiftScaleRotate;0,8638858795166016;0,7204113278904384;0,7100763213918182;0,5773750234268923;0,7332431023641663;0,9091319694050948
226_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_CLAHE;0,8557403564453125;0,6902070498654489;0,7306877290040781;0,5984106008296555;0,823330450292607;0,8755310957648432
227_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_Equalize;0,7775812149047852;0,5630792037002537;0,6608616719889568;0,5173945854957112;0,8749077578106018;0,7489533826586954
228_ORCA512_512x512_Epoch-400_Images-100_Batch-1_L1Loss_Adam_ShiftScaleRotate;0,8661091613769532;0,7402137680087941;0,7229531701589214;0,5884360338073199;0,7429036600641714;0,9100776002852775
229_ORCA512_512x512_Epoch-400_Images-100_Batch-1_L1Loss_Adam_CLAHE;0,8549784088134765;0,726613764528078;0,7143378886656988;0,5761886911125401;0,7455748887159994;0,9048518326235563
230_ORCA512_512x512_Epoch-400_Images-100_Batch-1_L1Loss_Adam_Equalize;0,7227459716796875;0,5017929139409217;0,6310726077147312;0,4848470309911347;0,9375351497990646;0,6474156258209551
231_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_random_3_operations;0,8652199935913086;0,7041818603640944;0,7443226682988501;0,6158603375443108;0,8336829407937028;0,8809174793599859
232_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_standard_3_operations;0,8593041229248047;0,7253454610553248;0,7080799055734335;0,5724245433463677;0,7312638186446708;0,9081057010280561
233_ORCA512_512x512_Epoch-400_Images-100_Batch-1_L1Loss_Adam_random_3_operations;0,8654767608642578;0,698212353976718;0,7482954766383676;0,6207063622559784;0,8487189369475626;0,8717515615802058
234_ORCA512_512x512_Epoch-400_Images-100_Batch-1_L1Loss_Adam_standard_3_operations;0,8589483261108398;0,7265586874247254;0,7111967814596553;0,5769007846881395;0,7400070300547497;0,9068762187451731
235_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_horizontal_flip;0,8464875030517578;0,6781966939885082;0,7080579806210919;0,5755484895030331;0,7934567315932125;0,8732485240390154
236_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_vertical_flip;0,8457123947143554;0,6577806275659421;0,7241012963334785;0,5914366231461777;0,8600204271422699;0,8471993629016156
237_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_rotation;0,8665780258178711;0,7122791800478191;0,7217851866395533;0,5948272743839114;0,7665850698370034;0,8970835187653899
238_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_transpose;0,8517972564697266;0,6804645069710427;0,7314325222117388;0,601035673651257;0,8522832702442851;0,8618111608988249
