model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,time,transformations
OCDC__Size-640x640_Epoch-13_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,13,0.3414113437790907,0.8475473342168894,32678676,258931850,33457783,18995691,2024-10-12 15:15:02.223060,14456.545890331268,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-13_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,13,0.3933589757523906,0.8518256293402776,42641,62760759,10888254,36346,2024-10-12 15:15:02.223091,14456.545890331268,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-14_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,14,0.3458466102673854,0.8446504690987735,29957663,260656156,36109493,17340688,2024-10-12 15:33:53.316588,15587.63941860199,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-14_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,14,0.35174625274327503,0.8533922390407985,180320,62738583,10750575,58522,2024-10-12 15:33:53.316618,15587.63941860199,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-15_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,15,0.33151446718584526,0.8590051298595616,34371827,261180914,31433455,17077804,2024-10-12 15:52:40.182719,16714.505549669266,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-15_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,15,0.3194948923861375,0.8522133924696176,103984,62728005,10826911,69100,2024-10-12 15:52:40.182750,16714.505549669266,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-16_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,16,0.3252584188606263,0.8576158999488465,34927630,260147127,30923083,18066160,2024-10-12 16:11:33.121015,17847.44384431839,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-16_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,16,0.33798668002499554,0.8524169108072915,80214,62766780,10850681,30325,2024-10-12 16:11:33.121046,17847.44384431839,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-17_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,17,0.31413935087175127,0.8642384178524942,37356071,259997256,28338171,18372502,2024-10-12 16:30:23.893186,18978.21601653099,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-17_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,17,0.3625563056163729,0.8521319986979162,56451,62769537,10874444,27568,2024-10-12 16:30:23.893217,18978.21601653099,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
