model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,time,transformations
ORCA__Size-640x640_Epoch-13_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,13,0.2927258964749381,0.8751589384081272,608556131,890186457,100516708,113278304,2024-10-18 20:08:34.836097,92636.02132821083,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-13_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,13,0.36171436189476186,0.8419976827071934,667839336,877578030,87741052,202259182,2024-10-18 20:08:34.836129,92636.02132821083,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-14_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,14,0.2921288782791732,0.8736680782950376,609372193,886817241,100401495,115946671,2024-10-18 22:08:48.301548,99849.48677873611,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-14_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,14,0.3335425818756329,0.8557534944636053,641808339,928856686,113772049,150980526,2024-10-18 22:08:48.301581,99849.48677873611,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-15_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,15,0.29071006497033647,0.8768639363013118,611613523,890048938,100423783,110451356,2024-10-19 00:09:14.741517,107075.92674922943,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-15_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,15,0.34265036045252956,0.8482998299678511,639218853,917765585,116361535,162071627,2024-10-19 00:09:14.741550,107075.92674922943,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-16_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,16,0.2859598915786517,0.8774683312062758,611889051,890808459,98670389,111169701,2024-10-19 02:09:22.680225,114283.86545681953,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-16_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,16,0.3652549652811709,0.8395693301622504,660392123,880568202,95188265,199269010,2024-10-19 02:09:22.680257,114283.86545681953,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-17_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,17,0.29084436509446826,0.8757319833444827,611161744,888562205,98967825,113845826,2024-10-19 04:09:41.306697,121502.49192786217,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-17_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,17,0.34024068783624506,0.8542332480630028,656131211,911743527,99449177,168093685,2024-10-19 04:09:41.306730,121502.49192786217,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-18_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,18,0.28079389778699365,0.8803349847617948,613445492,894161270,96086550,108844288,2024-10-19 06:10:10.441773,128731.62700510025,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-18_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,18,0.3289945597839981,0.8570851728783717,657681187,915428024,97899201,164409188,2024-10-19 06:10:10.441805,128731.62700510025,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-19_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,19,0.28086174983500944,0.8812066970091643,615758238,893341364,94433733,109004265,2024-10-19 08:10:06.775748,135927.96097946167,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-19_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,19,0.3296352237322915,0.8570317180133835,667300114,905710985,88280274,174126227,2024-10-19 08:10:06.775782,135927.96097946167,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-20_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,20,0.2801097191317121,0.8810597268054147,612955041,895892869,96639442,107050248,2024-10-19 10:10:17.257569,143138.44279766083,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-20_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,20,0.34742074128892125,0.8542325054527092,655818193,912055182,99762195,167782030,2024-10-19 10:10:17.257602,143138.44279766083,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-21_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,21,0.28416575887669265,0.8774422085681496,613131350,889521424,98303691,111581135,2024-10-19 12:10:36.206247,150357.39147901535,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-21_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,21,0.3333799433473583,0.8558714725193881,661564232,909317332,94016156,170519880,2024-10-19 12:10:36.206282,150357.39147901535,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-22_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,22,0.27388709285783214,0.8844844130721575,618291228,896421586,91994970,105829816,2024-10-19 14:10:46.797196,157567.98242855072,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-22_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,22,0.33563714823649216,0.8578744466654348,645613713,928944145,109966675,150893067,2024-10-19 14:10:46.797227,157567.98242855072,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-23_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,23,0.2679495084799133,0.886760964547582,620120378,898491116,88866193,105059913,2024-10-19 16:10:55.752509,164776.93774032593,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-23_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,23,0.3428762913208735,0.8508174570190475,676909336,884695999,78671052,195141213,2024-10-19 16:10:55.752541,164776.93774032593,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-24_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,24,0.2682178615816508,0.8868214899340028,619165688,899549458,90556674,103265780,2024-10-19 18:10:58.595347,171979.78057813644,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-24_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,24,0.3353364422862912,0.8570802857071901,642046973,931053268,113533415,148783944,2024-10-19 18:10:58.595379,171979.78057813644,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-25_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,25,0.26870768539129947,0.8864435180868425,618774978,899292877,91360859,103108886,2024-10-19 20:11:16.076209,179197.26143980026,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-25_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,25,0.34517611656441893,0.8501204930147778,657824506,902501609,97755882,177335603,2024-10-19 20:11:16.076242,179197.26143980026,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-26_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,26,0.2724570934856754,0.8852517433777812,620497989,895528907,89646239,106864465,2024-10-19 22:11:30.993413,186412.17864513397,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-26_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,26,0.34413175921844763,0.8502048857981979,672546847,887934164,83033541,191903048,2024-10-19 22:11:30.993445,186412.17864513397,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-27_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,27,0.2687482230527996,0.8845303495818148,616997697,897793785,92683699,105062419,2024-10-20 00:11:39.811778,193620.99701070786,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-27_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,27,0.3794331924229756,0.8336306691185702,682037407,848022995,73542981,231814217,2024-10-20 00:11:39.811810,193620.99701070786,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-28_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,train,28,0.2691466171798759,0.8864511167521216,621421936,896658932,88971771,105484961,2024-10-20 02:11:57.797736,200838.98296642303,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
ORCA__Size-640x640_Epoch-28_Images-4181_Batch-1__random_9_operations_all.pth,random_9_operations,test,28,0.34300826497771275,0.8541341997592274,645769706,921923237,109810682,157913975,2024-10-20 02:11:57.797769,200838.98296642303,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
